,Location,TotalFatalInjuries,pop,Scaled_Fatalities
1537,"gander, canada",256.0,540111.0,0.00047397664554137944
3014,"new orleans, la",156.0,2284732.0,6.827934304767474e-05
4401,"washington, dc",78.0,941168.0,8.287574588171293e-05
2187,"la paz, bolivia",29.0,297554.0,9.746130114197759e-05
951,"covington, ky",23.0,320108.0,7.185075037174953e-05
2042,"jenkinsburg, ga",17.0,375384.0,4.5286959486818834e-05
4347,"w. of homestead, fl",16.0,125332.0,0.00012766093256311238
4122,"taft, ca",14.0,123042.0,0.00011378228572357406
1685,"grottoes, va",14.0,9816.0,0.0014262428687856561
765,"cherry point, nc",14.0,169869.0,8.241645032348456e-05
927,"corona, ca",13.0,2416659.0,5.37932741028006e-06
2643,"mercer island, wa",12.0,75369.0,0.0001592166540620149
2362,"lindale, tx",12.0,50656.0,0.00023689197725837018
140,"altus, ok",11.0,201533.0,5.4581631792311926e-05
3886,"silvana, wa",11.0,20562.0,0.0005349674156210486
3306,"peach springs, az",10.0,313927.0,3.185453943114163e-05
3728,"san diego, ca",10.0,1177530.0,8.492352636450876e-06
3372,"pinckneyville, il",10.0,56716.0,0.00017631708865223217
2273,"laredo, tx",9.0,360355.0,2.497537150865119e-05
1624,"grand canyon, az",9.0,1885001.0,4.774533276109668e-06
3934,"soldotna, ak",9.0,1429531.0,6.295771130531622e-06
4329,vieques,9.0,133426.0,6.745312008154332e-05
1244,"el paso, tx",9.0,2715303.0,3.3145472162775206e-06
251,"auburn, me",8.0,324465.0,2.4655972138751484e-05
245,"atmore, al",8.0,55352.0,0.00014452955629426219
266,"avalon, ca",8.0,251685.0,3.178576395097046e-05
2717,missing acft,8.0,259126.0,3.0873011585097594e-05
1698,gulf of mexico,8.0,2023864.0,3.952834775459221e-06
683,"carrollton, tx",8.0,242523.0,3.298656209926481e-05
3984,"springfield, ky",8.0,101212.0,7.904201082875549e-05
738,"chandler, az",8.0,5544116.0,1.4429712509622814e-06
2197,"lafayette, ga",8.0,470440.0,1.7005356687356518e-05
