,Location,TotalFatalInjuries
12111,"new delhi, india",698.0
15389,"sao paulo, brazil",317.0
943,"azevedo, brazil",308.0
7752,"hrabove, ukraine",295.0
8059,"islamabad, pakistan",284.0
9711,"lockerbie, united kingdom",270.0
8966,"lagos, nigeria",270.0
830,atlantic ocean,267.0
1343,"belle harbor, ny",265.0
6120,"gander, canada",256.0
10952,"milan, italy",241.0
8799,"kuala lampur, malaysia",239.0
4833,"east moriches, ny",237.0
12557,"nova scotia, canada",229.0
12353,"nimitz hill, gu",228.0
835,"atlantic, france",228.0
10125,"makung island, taiwan",206.0
14148,"puerto plata, dominican republic",189.0
4552,"douala, cameroon",186.0
14817,"romulus, mi",183.0
10871,"miami, fl",178.0
13186,"paramaribo, suriname",174.0
12175,"new orleans, la",173.0
109,"abidjan, cote d'ivoire",169.0
2893,"cerritos, ca",164.0
2234,"buga, colombia",163.0
0,,161.0
10032,"machiques, venezuela",160.0
10084,"madrid, spain",159.0
10203,"manglaore, india",158.0
12222,"new york city, ny",158.0
11376,"moroni, comoros",152.0
4107,"dallas/ft worth, tx",149.0
15342,"santa maria, portugal",145.0
10720,"medan, indonesia",145.0
10174,"manama, bahrain",143.0
17600,"uberlingen, germany",142.0
3784,"cotonou, benin",141.0
17065,"tegucigalpa, honduras",140.0
14181,"pusan, korea, republic of",138.0
358,"aliquippa, pa",132.0
15153,"samal island, philippines",131.0
16942,"taipei, taiwan",131.0
3617,"comorso islands, ethiopia",125.0
14478,"reno, nv",124.0
8030,"irkutsk, russia",124.0
674,"arequipa, peru",123.0
6532,"grammatikos, greece",121.0
13937,"port sudan, sudan",117.0
15901,"sioux city, ia",114.0
13203,"paris-gonesse, france",113.0
16036,"sochi, russia",113.0
8349,"kabul, afghanistan",112.0
13905,"port harcourt, nigeria",107.0
13506,"philippine isla, philippines",104.0
17445,"tripoli, libya",103.0
16972,"tamanrassett, algeria",102.0
10121,"makassar, indonesia",102.0
6541,"grand canyon, az",100.0
119,"abuja, nigeria",96.0
9837,"los angeles, ca",95.0
15230,"san luis obispo, ca",94.0
8020,"ipiales, colombia",92.0
13417,"perm, russia",90.0
1309,"beirut, lebanon",90.0
13524,"phuket, thailand",89.0
15988,"smolensk, russia",89.0
13910,"port hueneme, ca",88.0
522,"andoas, peru",87.0
16660,"strasburg, france",87.0
18242,"washington, dc",85.0
6829,"guatemala city, guatemala",82.0
949,"ba, argentina",80.0
15188,"san diego, ca",79.0
8713,"kisangani, congo",77.0
12588,"nuevo berlin, uruguay",75.0
4501,"diyarbakir, turkey",75.0
3832,"cove neck, ny",73.0
9547,"lima, peru",71.0
2990,"charlotte, nc",71.0
1770,"bogota, colombia",69.0
14864,"roselawn, in",68.0
3761,"corona, ca",65.0
15262,"san vicente, el salvador",65.0
1616,"bishkek, kyrgyzstan",65.0
702,"arlington, va",64.0
13279,"patna, india",60.0
10126,"makung, taiwan",58.0
8078,"isparta, turkey",57.0
5523,"faro, portugal",56.0
1073,"baotou, china",55.0
17780,"van, turkey",54.0
8584,"ketchikan, ak",54.0
9496,"lexington, ky",53.0
10323,"maria la baja, colombia",52.0
5632,"flagstaff, az",51.0
7737,"houston, tx",50.0
3255,"clarence center, ny",50.0
8477,"kazan, russia",50.0
14131,"pucallpa, peru",49.0
19231,"zurich, switzerland",48.0
17500,"tucuti, panama",47.0
300,"albuquerque, nm",47.0
15677,sharjah airport,46.0
2901,"chachapoyas, peru",46.0
8336,"juneau, ak",45.0
785,"aspen, co",44.0
15673,"shanksville, pa",44.0
508,"anchorage, ak",43.0
4386,"denver, co",43.0
11030,"milwaukee, wi",42.0
19135,"yichun, china",42.0
14233,"quincy, il",42.0
914,"avalon, ca",41.0
8137,"jacksonville, fl",41.0
8523,"kenai, ak",40.0
6442,"goma, congo",40.0
17498,"tucson, az",40.0
13522,"phoenix, az",40.0
12947,"oshkosh, wi",39.0
9771,"long beach, ca",38.0
8459,"kathmandu, nepal",38.0
5769,"fort lauderdale, fl",38.0
15174,"san antonio, tx",37.0
15572,"sedona, az",36.0
16960,"talkeetna, ak",35.0
15749,"shenzhen, china",35.0
10259,"manta, ecuador",35.0
12896,"orlando, fl",34.0
11202,"monroe, mi",34.0
9263,"las vegas, nv",34.0
17467,"truckee, ca",33.0
13943,"port-au-prince, haiti",33.0
14930,"rundu, namibia",33.0
5010,"el paso, tx",33.0
4645,"dubrovnik, croatia",33.0
2164,"brunswick, ga",32.0
5914,"freeport, bahamas",32.0
8596,"key west, fl",31.0
11090,missing,31.0
3112,"chicago, il",31.0
8612,"khartoum, sudan",30.0
9676,"livermore, ca",30.0
9824,"lorient, france",30.0
12766,"oklahoma city, ok",30.0
8353,"kafoutine, senegal",30.0
823,"atlanta, ga",30.0
1854,"boulder, co",30.0
5681,"flushing, ny",30.0
16980,"tampa, fl",30.0
17513,"tulsa, ok",30.0
8888,"la paz, bolivia",29.0
3189,"chugiak, ak",29.0
7623,"homer, ak",29.0
9125,"lakeland, fl",28.0
10049,"madang, papua new guinea, papua new guinea",28.0
15346,"santa paula, ca",28.0
9654,"little rock, ar",28.0
4469,"dillingham, ak",28.0
7649,"honolulu, hi",27.0
5224,"englewood, co",27.0
5411,"fairbanks, ak",27.0
1542,"big bear city, ca",27.0
17066,"tehachapi, ca",27.0
10861,"mexico city, mexico",27.0
8321,"julian, ca",26.0
14283,"ramona, ca",26.0
18718,"wichita, ks",26.0
5020,"el tigre, colombia",26.0
15214,"san jose, ca",26.0
10163,"mammoth lakes, ca",25.0
15401,"sarasota, fl",25.0
16060,"solo city, indonesia",25.0
14047,"prescott, az",25.0
15521,"scottsdale, az",25.0
1606,"birmingham, al",25.0
15912,"sitka, ak",25.0
3549,"colorado spgs, co",25.0
17778,"van nuys, ca",24.0
13423,"perris, ca",24.0
10704,"meadview, az",24.0
3844,"covington, ky",24.0
3594,"columbus, oh",24.0
2607,"caracas, venezuela",24.0
3437,"coari, brazil",24.0
4012,"cuidad bolivar, venezuela",24.0
5238,"ensenada, mexico",24.0
11291,"montrose, co",23.0
8755,"kodiak, ak",23.0
19141,"yogyakarta, indonesia",23.0
12415,"norfolk, ne",23.0
1064,"bangui, central african republic",23.0
10840,"mesa, az",23.0
15998,"snohomish, wa",23.0
3667,"conroe, tx",22.0
14247,"quito, ecuador",22.0
13039,pacific ocean,22.0
2900,"chacabuco, argentina",22.0
19121,"yellow pine, id",22.0
3635,"concord, ca",22.0
1698,"block island, ri",22.0
2642,"carlsbad, ca",22.0
2276,"burlington twp., nj",22.0
6859,gulf of mexico,22.0
2913,"challis, id",22.0
9192,"lander, wy",22.0
15139,"salt lake city, ut",22.0
14732,"rock springs, wy",22.0
8434,"karachi, pakistan",21.0
12762,"okeechobee, fl",21.0
11834,"nassau, bahamas",21.0
2328,"butte, mt",21.0
2239,"bukavu, congo",21.0
2814,"cedar city, ut",21.0
15344,"santa monica, ca",21.0
6484,"gorman, ca",21.0
12746,"ogden, ut",21.0
12709,"oceanside, ca",21.0
3151,"chino, ca",21.0
9848,"los menucos, argentina",21.0
386,"almaty, kazakhstan",21.0
11239,"monterey, ca",21.0
11043,"minden, nv",21.0
8483,"kearns, ut",20.0
17436,"trinidad, bolivia",20.0
7721,"hot springs, ar",20.0
12482,"north las vegas, nv",20.0
4318,"deland, fl",20.0
16053,"soldotna, ak",20.0
1009,"bakersfield, ca",20.0
17270,"titusville, fl",20.0
6929,"halawa,molokai, hi",20.0
15046,"saint barthelem, guadeloupe",20.0
8824,"kuwana mie pre., japan",20.0
14926,"rumbek, sudan",20.0
10777,"memphis, tn",20.0
10936,"midland, tx",20.0
11311,"moorea, french polynesia",20.0
14420,"redlands, ca",20.0
2220,"buenos aires, argentina",20.0
6007,"ft. lauderdale, fl",20.0
9178,"lancaster, ca",20.0
828,"atlantic city, nj",20.0
8716,"kissimmee, fl",19.0
13063,"pagosa springs, co",19.0
10335,"marietta, ga",19.0
1239,"bear creek town, pa",19.0
17386,"tracy, ca",19.0
8422,"kansas city, mo",19.0
12283,"newport beach, ca",19.0
3069,"chesapeake, va",19.0
3113,"chichen itza, mexico",19.0
15337,"santa fe, nm",19.0
5113,"elko, nv",19.0
4992,"el cajon, ca",19.0
3192,"chulum juarez, mexico",19.0
7406,"hibbing, mn",19.0
1615,"bishankhunarayan, nepal",19.0
8752,"knoxville, tn",19.0
4105,"dallas, tx",19.0
6437,"goleta, ca",19.0
17700,"uruapan, mexico",18.0
7542,"hoboken, nj",18.0
17823,"venice, fl",18.0
13403,"peoria, az",18.0
18285,"watertown, wi",18.0
10402,"marsh harbour, bahamas",18.0
8545,"kennesaw, ga",18.0
16928,"taft, ca",18.0
3350,"cleveland, oh",18.0
18360,"weaverville, ca",18.0
1582,"billings, mt",18.0
1617,"bishop, ca",18.0
9371,"lebec, ca",18.0
16250,"spokane, wa",18.0
11243,"monterrey, mexico",18.0
5266,"erie, co",18.0
6067,"gadsden, al",18.0
6075,"gainesville, fl",18.0
1763,"boca raton, fl",18.0
11859,"nazca, peru",18.0
8083,"istra, russia",18.0
13686,"placerville, ca",18.0
18515,"west palm beach, fl",18.0
13883,"port alsworth, ak",18.0
4059,"cusco, peru",17.0
2687,"carrollton, ga",17.0
7898,"iliamna, ak",17.0
10181,"manaus, brazil",17.0
10177,"manassas, va",17.0
14922,"ruidoso, nm",17.0
7629,"homestead, fl",17.0
15552,"seattle, wa",17.0
1675,"blairsville, ga",17.0
11833,"nashville, tn",17.0
16405,"st. john's, newfoundland, canada",17.0
6924,"haines, ak",17.0
16443,"st. petersburg, fl",17.0
11394,"morrisville, nc",17.0
8229,"jenkinsburg, ga",17.0
878,"augusta, ga",17.0
13547,"piedras negras, mexico",17.0
13108,"palm springs, ca",17.0
18257,"wasilla, ak",16.0
7515,"hinckley, il",16.0
12693,"ocean city, md",16.0
1745,"bluefields, nicaragua",16.0
13399,"pensacola, fl",16.0
6936,"half moon bay, ca",16.0
2822,"cedar key, fl",16.0
18011,"w. of homestead, fl",16.0
7392,"hesperia, ca",16.0
2727,"casa grande, az",16.0
14882,"roswell, nm",16.0
10750,"melbach, germany",16.0
4230,"daytona beach, fl",16.0
7242,"hayden, co",16.0
2940,"chandler, az",16.0
4764,"eagle lake, tx",16.0
13091,"palermo, italy",16.0
16025,"so. lake tahoe, ca",16.0
18708,"whittier, ak",16.0
3863,"cozumel, mexico",16.0
11126,"moab, ut",16.0
6789,"grottoes, va",15.0
12400,"nome, ak",15.0
1511,"bethel, ak",15.0
17139,"the dalles, or",15.0
3463,"cody, wy",15.0
732,"arusha, tanzania",15.0
14277,"raleigh, nc",15.0
6201,"gaylord, mi",15.0
7032,"hana, hi",15.0
11357,"morgan hill, ca",15.0
6743,"greenwood, in",15.0
1776,"boise, id",15.0
2175,"bryan, tx",15.0
3123,"chico, ca",15.0
11091,missing acft,15.0
15931,"skwentna, ak",15.0
1852,"boulder city, nv",15.0
18294,"watkins, co",15.0
433,"altus, ok",15.0
6309,"gilroy, ca",15.0
8709,"kirksville, mo",15.0
6085,"gaithersburg, md",15.0
6115,"galveston, tx",15.0
17977,"volcano, hi",15.0
3332,"clearwater, fl",15.0
14214,"queensland, australia",15.0
3088,"chesterfield, mo",15.0
12088,"new braunfels, tx",15.0
14116,"provo, ut",15.0
15420,"sarmi, papua, indonesia",15.0
10293,"marana, az",15.0
13465,"petaluma, ca",15.0
5333,eugene island,15.0
17079,"telluride, co",14.0
17405,"treasure cay, bahamas",14.0
1544,"big bear, ca",14.0
764,"ashland, or",14.0
11474,"mount kenya,, kenya",14.0
10823,"merion, pa",14.0
9127,"lakeport, ca",14.0
4292,"deerfield beach, fl",14.0
3107,"cheyenne, wy",14.0
18523,"west point, va",14.0
12755,"ojai, ca",14.0
11784,"nairobi, kenya",14.0
10722,"medellin, colombia",14.0
5239,"entebbe, uganda",14.0
6785,"groton, ct",14.0
952,"baborigame, mexico",14.0
450,"amarillo, tx",14.0
19097,"yamhill, or",14.0
5031,"elbert, co",14.0
10296,"marathon, fl",14.0
15322,"santa barbara, ca",14.0
1215,"bayfield, co",14.0
2247,"bullhead city, az",14.0
15127,"salisbury twp, pa",14.0
9819,"loreto, bcs, mexico",14.0
3059,"cherry point, nc",14.0
16968,"tallinn, estonia",14.0
15135,"salmon, id",14.0
16963,"tallahassee, fl",14.0
17520,"tunis, tunisia",14.0
10610,"mccall, id",14.0
2259,"bunnell, fl",14.0
13151,"panama city, fl",14.0
11259,"montgomery, ny",14.0
2975,"charleston, sc",14.0
3772,"cortez, co",14.0
9139,"lakeview, ar",14.0
12202,"new smyrna bch, fl",14.0
2006,"bridgeport, ca",14.0
10342,"marine city, mi",14.0
18717,"wichita falls, tx",14.0
5667,"flores, guatemala",14.0
17776,"van horn, tx",14.0
904,"austin, tx",14.0
12941,"osceola, wi",14.0
2725,"cary, nc",14.0
13969,"porto segura, brazil",14.0
16716,"suches, ga",14.0
12441,"north bend, or",14.0
1130,"bartlesville, ok",14.0
18192,"warner springs, ca",14.0
15330,"santa cruz, bolivia",14.0
2105,"brooklyn, ny",13.0
8392,"kalispell, mt",13.0
7512,"hinche, haiti",13.0
17935,"villavicencio, colombia",13.0
14136,"pueblo, co",13.0
18425,"wenatchee, wa",13.0
7730,"houma, la",13.0
106,"aberdeen, sd",13.0
5302,"estacada, or",13.0
16290,"springfield, mo",13.0
10137,"malibu, ca",13.0
15257,"san salvador, el salvador",13.0
7755,"huambo, angola",13.0
11699,"muskogee, ok",13.0
2499,"camp verde, az",13.0
11793,"nantucket, ma",13.0
16449,st. thomas,13.0
1903,"bozeman, mt",13.0
9022,"lake elsinore, ca",13.0
18430,"wendover, ut",13.0
17870,"vero beach, fl",13.0
13965,"portland, or",13.0
1979,"bremerton, wa",13.0
2931,"chanco, chile",13.0
18788,"williston, fl",13.0
16940,"taipai, taiwan",13.0
11109,"missoula, mt",13.0
9791,"longmont, co",13.0
11287,"montreal, canada",13.0
8576,"kernville, ca",13.0
5749,"fort collins, co",13.0
14805,"rome, ga",13.0
13373,"pembroke pines, fl",13.0
15464,"scappoose, or",13.0
2951,"chantilly, va",13.0
15562,"sebring, fl",13.0
15858,"silvana, wa",13.0
12997,"owatonna, mn",13.0
14347,"rawlins, wy",13.0
13338,"pearland, tx",13.0
3581,"columbia, sc",13.0
16693,"stuart, fl",13.0
1714,"bloomington, il",13.0
19228,"zuria mountains, uganda",13.0
4773,"eagle, co",13.0
1257,"beaumont, tx",13.0
10910,"middlesboro, ky",13.0
14838,"rosamond, ca",13.0
10664,"mckinney, tx",12.0
5869,"franklin, pa",12.0
8951,"lafayette, ga",12.0
3243,"ciudad victoria, mexico",12.0
16876,"swanton, oh",12.0
9584,"lindale, tx",12.0
4699,"durango, co",12.0
16363,"st. augustine, fl",12.0
1689,"blanding, ut",12.0
9113,"lake wales, fl",12.0
5786,"fort pierce, fl",12.0
5455,"fairview, nj",12.0
2977,"charleston, wv",12.0
15692,"shaver lake, ca",12.0
1124,"barrow, ak",12.0
15122,"salinas, ca",12.0
6076,"gainesville, ga",12.0
5479,"fallon, nv",12.0
14662,"riverside, ca",12.0
4442,"dhahran, saudi arabia",12.0
7326,"helena, mt",12.0
14632,"rio sidra, panama",12.0
2698,"carson city, nv",12.0
6530,"grain valley, mo",12.0
5630,"flagler beach, fl",12.0
18909,"winston-salem, nc",12.0
17530,"turks and caicos, turks and caicos islands",12.0
10603,"mcalester, ok",12.0
10363,"mariquita, colombia",12.0
17347,"torrance, ca",12.0
9345,"leadville, co",12.0
9440,"leominster, ma",12.0
11447,"mount airy, nc",12.0
3443,"coban, guatemala",12.0
15024,"sacramento, ca",12.0
923,"avon park, fl",12.0
10810,"mercer island, wa",12.0
5884,"frederick, md",12.0
5495,"faridabad parvatiya colony, india",12.0
6350,"glen falls, ny",12.0
5376,"everglades city, fl",12.0
